Genome	Color	Family
MZ501269	#3457A9	Siphoviridae
MZ501268	#59520F	Myoviridae
MZ501267	#59520F	Myoviridae
MZ501266	#3457A9	Siphoviridae
MZ501265	#59520F	Myoviridae
MZ501264	#3457A9	Siphoviridae
MZ501263	#59520F	Myoviridae
MZ501262	#59520F	Myoviridae
MZ501261	#59520F	Myoviridae
MZ501260	#59520F	Myoviridae
MZ648031	#3457A9	Siphoviridae
MW722083	#7EF23B	Podoviridae
MW722080	#D3D3D3	Unclassified
MZ687409	#D3D3D3	Unclassified
MZ681930	#59520F	Myoviridae
MZ648041	#3457A9	Siphoviridae
MZ648040	#3457A9	Siphoviridae
MZ648039	#3457A9	Siphoviridae
MZ648038	#3457A9	Siphoviridae
MZ648037	#3457A9	Siphoviridae
MZ648036	#3457A9	Siphoviridae
MZ648035	#3457A9	Siphoviridae
MZ648034	#3457A9	Siphoviridae
MZ648033	#3457A9	Siphoviridae
MZ648032	#3457A9	Siphoviridae
MZ568829	#59520F	Myoviridae
MZ568828	#59520F	Myoviridae
MZ568827	#3457A9	Siphoviridae
MZ568826	#3457A9	Siphoviridae
MZ592922	#3457A9	Siphoviridae
MZ592921	#8B4FE0	Autographiviridae
MZ592920	#8B4FE0	Autographiviridae
MZ474491	#D3D3D3	Unclassified
MZ474490	#D3D3D3	Unclassified
MZ474489	#D3D3D3	Unclassified
MZ474488	#D3D3D3	Unclassified
MZ475898	#D3D3D3	Unclassified
MZ475897	#D3D3D3	Unclassified
MZ475896	#D3D3D3	Unclassified
MZ475895	#D3D3D3	Unclassified
MZ475894	#D3D3D3	Unclassified
MZ475893	#D3D3D3	Unclassified
MZ475892	#D3D3D3	Unclassified
MZ475891	#D3D3D3	Unclassified
MZ440881	#D3D3D3	Unclassified
MZ369152	#D3D3D3	Unclassified
MZ326868	#D3D3D3	Unclassified
MZ326867	#D3D3D3	Unclassified
MZ326865	#D3D3D3	Unclassified
MZ326864	#D3D3D3	Unclassified
MZ326863	#D3D3D3	Unclassified
MZ326861	#D3D3D3	Unclassified
MZ326860	#D3D3D3	Unclassified
MZ326859	#D3D3D3	Unclassified
MZ326858	#D3D3D3	Unclassified
MZ326857	#D3D3D3	Unclassified
MZ326856	#D3D3D3	Unclassified
MZ326854	#D3D3D3	Unclassified
MZ171381	#3457A9	Siphoviridae
MZ171380	#3457A9	Siphoviridae
MZ171379	#3457A9	Siphoviridae
MZ171378	#3457A9	Siphoviridae
MZ171377	#D3D3D3	Unclassified
MZ171376	#D3D3D3	Unclassified
MZ171375	#3457A9	Siphoviridae
MZ171374	#3457A9	Siphoviridae
MZ171373	#3457A9	Siphoviridae
MZ171372	#3457A9	Siphoviridae
MZ171371	#3457A9	Siphoviridae
MZ171370	#3457A9	Siphoviridae
MZ170041	#D3D3D3	Unclassified
MZ170040	#D3D3D3	Unclassified
MT732469	#D3D3D3	Unclassified
MT732468	#D3D3D3	Unclassified
MT732467	#D3D3D3	Unclassified
MT995928	#D3D3D3	Unclassified
MT995927	#D3D3D3	Unclassified
MT995926	#D3D3D3	Unclassified
MZ099557	#8B4FE0	Autographiviridae
OU343168	#D3D3D3	Unclassified
OU343167	#59520F	Myoviridae
MZ576218	#3457A9	Siphoviridae
MZ669808	#D3D3D3	Unclassified
MZ333462	#D3D3D3	Unclassified
MZ333461	#D3D3D3	Unclassified
NC_020414	#8B4FE0	Autographiviridae
OU509537	#D3D3D3	Unclassified
OU509536	#D3D3D3	Unclassified
OU509535	#D3D3D3	Unclassified
OU509534	#D3D3D3	Unclassified
OU509533	#D3D3D3	Unclassified
MZ292654	#59520F	Myoviridae
MW794192	#59520F	Myoviridae
MW794191	#59520F	Myoviridae
MW794190	#59520F	Myoviridae
MW794189	#59520F	Myoviridae
MW794188	#59520F	Myoviridae
MW794187	#59520F	Myoviridae
MW794186	#59520F	Myoviridae
MW794185	#59520F	Myoviridae
MW794184	#59520F	Myoviridae
MW794183	#59520F	Myoviridae
MW794182	#59520F	Myoviridae
MW794181	#59520F	Myoviridae
MW794180	#59520F	Myoviridae
MW794179	#59520F	Myoviridae
MW794178	#59520F	Myoviridae
MW794177	#59520F	Myoviridae
MW794176	#59520F	Myoviridae
MW794175	#59520F	Myoviridae
MW794174	#59520F	Myoviridae
MW794173	#59520F	Myoviridae
MW794172	#59520F	Myoviridae
MW794171	#59520F	Myoviridae
MW794170	#59520F	Myoviridae
MW794169	#59520F	Myoviridae
MW794168	#59520F	Myoviridae
MW794167	#59520F	Myoviridae
MW794166	#59520F	Myoviridae
MW794165	#59520F	Myoviridae
MW794164	#59520F	Myoviridae
MW794163	#59520F	Myoviridae
MW794162	#59520F	Myoviridae
MW794161	#59520F	Myoviridae
MW794160	#59520F	Myoviridae
MW794159	#59520F	Myoviridae
MW794158	#59520F	Myoviridae
MW794157	#59520F	Myoviridae
MW794156	#59520F	Myoviridae
MW794155	#59520F	Myoviridae
MW794154	#59520F	Myoviridae
MW794153	#59520F	Myoviridae
MW794152	#59520F	Myoviridae
MW794151	#59520F	Myoviridae
MZ231001	#D188C6	Corticoviridae
MZ231000	#D188C6	Corticoviridae
MZ230999	#D188C6	Corticoviridae
MZ230998	#D188C6	Corticoviridae
MZ230997	#D188C6	Corticoviridae
MZ230996	#D188C6	Corticoviridae
MZ230995	#D188C6	Corticoviridae
MZ230994	#D188C6	Corticoviridae
MZ230993	#D188C6	Corticoviridae
MZ230992	#D188C6	Corticoviridae
NC_056724	#3457A9	Siphoviridae
MZ424863	#59520F	Myoviridae
MZ147816	#1720E1	Herelleviridae
MW722082	#D3D3D3	Unclassified
MT188666	#0A00E8	Inoviridae
MT188665	#0A00E8	Inoviridae
MT188664	#0A00E8	Inoviridae
MT188663	#0A00E8	Inoviridae
MT188662	#0A00E8	Inoviridae
MN692672	#8B4FE0	Autographiviridae
MT887289	#D3D3D3	Unclassified
